32	32
0

117
11	16	6	1
17	13	5	1
5	14	4	1
5	19	3	1
8	29	2	1
4	29	2	1
28	29	2	1
3	10	2	1
14	8	1	1
12	30	1	1
13	9	1	1
10	28	1	1
10	30	1	1
16	8	1	1
11	29	1	1
12	10	1	1
2	17	1	1
2	8	1	1
2	20	1	1
2	27	1	1
30	30	1	1
30	28	1	1
2	3	1	1
2	5	1	1
6	30	1	1
6	28	1	1
18	8	1	1
3	4	1	1
3	6	1	1
4	2	1	1
15	7	0	1
31	31	0	1
0	0	0	1
27	31	0	1
29	27	0	1
29	31	0	1
31	27	0	1
14	31	0	1
31	29	0	1
20	8	0	1
19	18	0	1
17	7	0	1
19	7	0	1
18	18	0	1
21	9	0	1
21	17	0	1
22	14	0	1
22	15	0	1
25	31	0	1
26	30	0	1
26	31	0	1
27	27	0	1
1	26	0	1
1	9	0	1
1	11	0	1
1	12	0	1
1	13	0	1
1	15	0	1
1	16	0	1
1	18	0	1
1	19	0	1
1	21	0	1
1	7	0	1
1	28	0	1
1	29	0	1
2	30	0	1
2	31	0	1
3	22	0	1
3	31	0	1
0	15	0	1
0	1	0	1
0	3	0	1
0	4	0	1
0	5	0	1
0	6	0	1
0	7	0	1
0	8	0	1
0	9	0	1
0	10	0	1
0	11	0	1
0	12	0	1
0	13	0	1
0	14	0	1
0	16	0	1
0	17	0	1
0	18	0	1
0	19	0	1
0	20	0	1
0	25	0	1
0	26	0	1
0	27	0	1
1	0	0	1
1	4	0	1
1	6	0	1
9	22	0	1
9	27	0	1
9	31	0	1
10	22	0	1
11	27	0	1
11	31	0	1
12	8	0	1
12	27	0	1
12	28	0	1
13	31	0	1
5	27	0	1
4	5	0	1
4	7	0	1
4	8	0	1
4	22	0	1
5	1	0	1
5	9	0	1
5	31	0	1
6	22	0	1
7	22	0	1
7	27	0	1
7	31	0	1
8	22	0	1
